"2342","1592","2333","2307","1414","1551","1414","11","0","2","0","0","0","0"
" RowID","","","Product Name","System SKU","Barcode","Product SKU","บาร์โค้ดจริง","","หน่วย","","","",""
"SKU-604-1545","604","1545","รีจอยส์ แชมพู 70มล ขจัดรังแค 3in1 (รีจอยส์ แชมพู 70มล ขจัดรังแค 3in1)","U00001081","-","U00001081","1490243039674","","","","","",""
"SKU-605-1548","605","1548","รีจอยส์ แชมพู 70มล เจจูโรส (รีจอยส์ แชมพู 70มล เจจูโรส)","U00001082","-","U00001082","","","","","","",""
"SKU-605-1547","605","1547","รีจอยส์ แชมพู 70มล เจจูโรส (รีจอยส์ แชมพู 70มล เจจูโรส แพคx6)","U00001082","-","U00001082","","","","","","",""
"SKU-608-1552","608","1552","108 Shop 1000ก ผงซักฟอก  (108 Shop ผงซักฟอก 1000ก)","U00001089","8850002022225","U00001089","","","","","","",""
"SKU-608-1553","608","1553","108 Shop 1000ก ผงซักฟอก  (108 Shop ผงซักฟอก 1000ก	หีบx12)","U00001089","8850002022225","U00001089","","","","","","",""
"SKU-609-1555","609","1555","108 Shop 300ก ผงซักฟอก  (108 Shop ผงซักฟอก 300ก)","U00001090","8850002022805","U00001090","","","","","","",""
"SKU-609-1556","609","1556","108 Shop 300ก ผงซักฟอก  (108 Shop ผงซักฟอก 300ก แพคx12)","U00001090","-","U00001090","","","","","","",""
"SKU-609-1557","609","1557","108 Shop 300ก ผงซักฟอก  (108 Shop ผงซักฟอก 300ก	หีบx36)","U00001090","8850002022805","U00001090","","","","","","",""
"SKU-610-1560","610","1560","บรีสเพาเวอร์ 110ก รุ่น10.- แดง  (บรีสเพาเวอร์ 110ก รุ่น10.- แดง )","U00001091","8851932409360","U00001091","","","","","","",""
"SKU-610-1558","610","1558","บรีสเพาเวอร์ 110ก รุ่น10.- แดง  (บรีสเพาเวอร์ 110ก รุ่น10.- แดง  แพค12)","U00001091","8851932409391","U00001091","","","","","","",""
"SKU-610-1559","610","1559","บรีสเพาเวอร์ 110ก รุ่น10.- แดง  (บรีสเพาเวอร์ 110ก รุ่น10.- แดง 	หีบx 6แพค12)","U00001091","18851932414125","U00001091","","","","","","",""
"SKU-611-1563","611","1563","เป็ดโปร น้ำยาห้องน้ำ 450 มล ม่วง (เป็ดโปร น้ำยาห้องน้ำ 450 มล ม่วง)","U00001092","8850175046042","U00001092","","","","","","",""
"SKU-611-1561","611","1561","เป็ดโปร น้ำยาห้องน้ำ 450 มล ม่วง (เป็ดโปร น้ำยาห้องน้ำ 450 มล ม่วง แพคx6)","U00001092","8850175030010","U00001092","","","","","","",""
"SKU-611-1562","611","1562","เป็ดโปร น้ำยาห้องน้ำ 450 มล ม่วง (เป็ดโปร น้ำยาห้องน้ำ 450 มล ม่วง	หีบx2 แพค6)","U00001092","18850175031519","U00001092","","","","","","",""
"SKU-612-1566","612","1566","ไลปอนเอฟ ล้างจาน 150มล (ไลปอนเอฟ ล้างจาน 150มล)","U00001093","8850002010116","U00001093","","","","","","",""
"SKU-612-1564","612","1564","ไลปอนเอฟ ล้างจาน 150มล (ไลปอนเอฟ ล้างจาน 150มล แพค6)","U00001093","8850002905917","U00001093","","","","","","",""
"SKU-612-1565","612","1565","ไลปอนเอฟ ล้างจาน 150มล (ไลปอนเอฟ ล้างจาน 150มล	หีบx8 แพค6)","U00001093","48850002905911","U00001093","","","","","","",""
